member_number_members_sa,id_membership_periods_sa,purchased_on_adjusted_mp,real_membership_types_sa,new_member_category_6_sa,membership_type_id_mp,starts_mp,ends_mp
436799,3982532,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
436839227,3958862,"2021-09-11 00:00:00",one_day,"One Day - $15",47,2021-09-11,2021-09-11
436839227,3983167,"2021-09-11 00:00:00",one_day,"One Day - $15",47,2021-09-11,2021-09-11
436970448,4539278,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
436970448,4542176,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
437723729,4538962,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
437723729,4548293,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
437740141,4539646,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
437740141,4544067,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
437892,3957535,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
437892,3966889,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
438050942,3956963,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
438050942,3981637,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
438063245,4539439,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
438063245,4541756,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
438068307,4538899,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
438068307,4542246,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
438288524,4539000,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
438288524,4544336,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
438436098,3956010,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
438436098,3967264,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
438495148,4694672,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
438495148,4697201,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
438597388,3958396,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
438597388,3982698,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
438880213,4539487,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
438880213,4544621,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
438961079,3956881,"2022-03-06 00:00:00",one_day,"One Day - $15",47,2022-03-06,2022-03-06
438961079,3981580,"2022-03-06 00:00:00",one_day,"One Day - $15",47,2022-03-06,2022-03-06
439383326,3957842,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
439383326,3982285,"2022-05-14 00:00:00",one_day,"One Day - $15",47,2022-05-14,2022-05-15
439770469,4539373,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
439770469,4541809,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
440030077,3955961,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
440030077,3967240,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
440666781,3959712,"2022-09-01 13:19:05",youth_annual,"Youth Annual",54,2025-10-01,2026-09-30
440666781,3959713,"2022-09-01 13:19:05",youth_annual,"Youth Annual",54,2025-10-01,2026-09-30
440672332,3641336,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
440672332,3957340,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
440672332,3981914,"2021-09-19 00:00:00",one_day,"One Day - $15",47,2021-09-19,2021-09-19
440746110,3956550,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
440746110,3967516,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-20
440924133,3956826,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
440924133,3981540,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
440966211,3958024,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
440966211,3982423,"2022-07-30 00:00:00",one_day,"One Day - $15",47,2022-07-30,2022-07-31
440998358,3958395,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
440998358,3982697,"2022-06-18 00:00:00",one_day,"One Day - $15",47,2022-06-18,2022-06-19
