purchased_on_mp,member_number_members_sa,id_membership_periods_sa,starts_mp,ends_mp
"2022-03-06 06:00:00",830737769,3981805,2022-03-06,2022-03-06
"2022-03-06 06:00:00",834084434,3957100,2022-03-06,2022-03-06
"2022-03-06 06:00:00",834084434,3981739,2022-03-06,2022-03-06
"2022-03-06 06:00:00",853412326,3958472,2022-03-06,2022-03-06
"2022-03-06 06:00:00",853412326,3982772,2022-03-06,2022-03-06
"2022-03-06 06:00:00",854416152,3958367,2022-03-06,2022-03-06
"2022-03-06 06:00:00",854416152,3982669,2022-03-06,2022-03-06
"2022-03-06 06:00:00",863785119,3956802,2022-03-06,2022-03-06
"2022-03-06 06:00:00",863785119,3981522,2022-03-06,2022-03-06
"2022-03-06 06:00:00",863981063,3958347,2022-03-06,2022-03-06
"2022-03-06 06:00:00",863981063,3982649,2022-03-06,2022-03-06
"2022-03-06 06:00:00",865571101,3956798,2022-03-06,2022-03-06
"2022-03-06 06:00:00",865571101,3981519,2022-03-06,2022-03-06
"2022-03-06 06:00:00",866080328,3958611,2022-03-06,2022-03-06
"2022-03-06 06:00:00",866080328,3982913,2022-03-06,2022-03-06
"2022-03-06 06:00:00",867820064,3957088,2022-03-06,2022-03-06
"2022-03-06 06:00:00",867820064,3981730,2022-03-06,2022-03-06
"2022-03-06 06:00:00",869163496,3957379,2022-03-06,2022-03-06
"2022-03-06 06:00:00",869163496,3981942,2022-03-06,2022-03-06
"2022-03-06 06:00:00",872315468,3956848,2022-03-06,2022-03-06
"2022-03-06 06:00:00",872315468,3981556,2022-03-06,2022-03-06
"2022-03-06 06:00:00",873345195,3958959,2022-03-06,2022-03-06
"2022-03-06 06:00:00",873345195,3983264,2022-03-06,2022-03-06
"2022-03-06 06:00:00",879210231,3958033,2022-03-06,2022-03-06
"2022-03-06 06:00:00",879210231,3982430,2022-03-06,2022-03-06
"2022-03-06 06:00:00",881805505,3957687,2022-03-06,2022-03-06
"2022-03-06 06:00:00",881805505,3982168,2022-03-06,2022-03-06
"2022-03-06 06:00:00",884411213,3958319,2022-03-06,2022-03-06
"2022-03-06 06:00:00",884411213,3982633,2022-03-06,2022-03-06
"2022-03-06 06:00:00",885719120,3958241,2022-03-06,2022-03-06
"2022-03-06 06:00:00",885719120,3982591,2022-03-06,2022-03-06
"2022-03-06 06:00:00",886503748,3958981,2022-03-06,2022-03-06
"2022-03-06 06:00:00",886503748,3983286,2022-03-06,2022-03-06
"2022-03-06 06:00:00",887208077,3957615,2022-03-06,2022-03-06
"2022-03-06 06:00:00",887208077,3982115,2022-03-06,2022-03-06
"2022-03-06 06:00:00",888808225,3957160,2022-03-06,2022-03-06
"2022-03-06 06:00:00",888808225,3981784,2022-03-06,2022-03-06
"2022-03-06 06:00:00",895077296,3956965,2022-03-06,2022-03-06
"2022-03-06 06:00:00",895077296,3981639,2022-03-06,2022-03-06
"2022-03-06 06:00:00",904538155,3958246,2022-03-06,2022-03-06
"2022-03-06 06:00:00",904538155,3982593,2022-03-06,2022-03-06
"2022-03-06 06:00:00",908647145,3958589,2022-03-06,2022-03-06
"2022-03-06 06:00:00",908647145,3982890,2022-03-06,2022-03-06
"2022-03-06 06:00:00",916133272,3958831,2022-03-06,2022-03-06
"2022-03-06 06:00:00",916133272,3983136,2022-03-06,2022-03-06
"2022-03-06 06:00:00",918145231,3956794,2022-03-06,2022-03-06
"2022-03-06 06:00:00",918145231,3981517,2022-03-06,2022-03-06
"2022-03-06 06:00:00",918318764,3958851,2022-03-06,2022-03-06
"2022-03-06 06:00:00",918318764,3983156,2022-03-06,2022-03-06
"2022-03-06 06:00:00",919079049,3958286,2022-03-06,2022-03-06
"2022-03-06 06:00:00",919079049,3982615,2022-03-06,2022-03-06
"2022-03-06 06:00:00",922190047,3956869,2022-03-06,2022-03-06
